name,salary,demand,job_des,location
区块链工程师,10000-13000元,佛山3-5年大专,职位描述：Go语言中级开发工程师（区块链方向）岗位职责：1、采用Go语言(Golang)开发稳健可扩展的后端程序2、与团队一起构建高可用、高性能的区块链开放平台3、为各类项目需求设计架构，开发后端功能服务，同团队成员合作并积极提出建议和反馈4、积极参与各种头脑风暴会议并对用到的技术、算法和产品功能提出意见和建议5、同产品和设计团队协作，理解需求，归纳功能用例，并转化为高效的技术解决方案任职要求：1、专科，计算机科学或软件工程等相关专业；2、具有 3 年以上工作经验，2 年以上 Golang 语言服务端开发经验，以及熟悉相关语言(Java)下的常用技术框架3、熟悉 Go 语言、Go 协程、Channel，对高并发、高可用架构系统有正确深刻的理解，有分布式、高负载、高并发开发设计经验4、熟悉 Linux/Unix 系统，熟悉网络编程、多线程编程，至少熟悉 shell、python、lua 等一种脚本语言。5、熟悉mangoDB，Redis等nosql数据库的使用和性能调优等工作； 6、熟悉docker工具，熟悉区块链平台(Fabric优先)； 7、具有区块链应用的相关设计开发经验，了解区块链系统的核心思想和基础架构者优先； 8、具有良好的团队协作能力和沟通能力，工作积极主动、责任心强9、有 Github 开源作品/个人 Blog 优先考虑；,佛山市 顺德区 美的总部大楼
区块链安全隐私,50000-100000元,北京5-10年本科,资深区块链平台诚招可信计算方面专家，具体的:- 精通Intel SGX SDK - 有SGX的开发经验- 优先考虑满足一下条件之一的候选人:-- 熟悉区块链底层架构-- 熟悉wasm/evm等vm-- 熟悉共识协议-- 熟悉kv存储,北京朝阳区环球金融中心
区块链,25000-50000元,长沙1-3年本科,职位描述：1、参与规划公司的技术发展路线与新产品研发，实现公司的技术创新目标2、负责搭建基于区块链的底层架构，开发井实现区块链协议、运行机制、加密技术、共识算法和庭层实现3、组织制定区块键产品的技术方案，指导项目团队成员的开发工作，解决开发中的技术问题；4、与公司产品业务流程优化重构，研发过程优化与改进；5、掌区块链行业发展方向，提出具有前性见解，引领行业未来；6、探索区块链技术在数字资产等应用的落地场景，为公司业务发展提供持续技术支撑。岗位要求：1、本科及以上学历，计算相关专业，五年以上软件开发经验，两年以上区块相关开发经验2、熟悉金融交易业务，有过交易所架构经验优先。3．有互联网产品高并发架构经验。熟悉MQ中间件、各类常用存、Spring等主流技术和框架，、 熟悉Linux操作环境，有亚马逊云服务使用经验优先4、精通java、C/C，熟练掌握ava、C、Go、Node.js，、 Python等主流区块链系统开发语言至少两种；5、熟悉区块链层技术原理，熟悉P2P网络和分布式存储，熟恶主流的共识机制；6、熟悉Ethereum、 openchain,长沙岳麓区湖南省长沙市岳麓区长沙高新区长沙芯城科技园7栋11楼
区块链高级工程师,50000-100000元,北京5-10年本科,-参与区块链核心系统的架构设计和研发工作-发展区块链技术，探索和推进区块链技术在不同场景的应用1. 精通C/C++/JAVA语言开发，重视代码质量和容错性，遵守良好的编码风格2. 熟悉Linux环境下多进程/线程、文件系统及网络编程3. 熟悉Linux的常用命令，熟悉常见的性能查看及调优工具使用4. 具备以下背景或经验之一者优先：a. 参与过网络框架、搜索引擎、分布式数据库、云计算平台等底层平台或组件开发b. 熟悉Bitcoin、Ethereum等开源区块链系统细节设计c. 熟悉BFT、Paxos、Raf,北京朝阳区环球金融中心
区块链架构师,15000-25000元,上海5-10年本科,"区块链架构师岗位职责：负责选型和设计适用行业场景的区块链产品，并推动区块链应用和解决方案的落地实施；参与区块链核心系统的架构设计和研发工作发展区块链技术，探索和推进区块链技术在不同场景的应用区块链项目核心开发和智能合约开发。区块链经济模型技术实现研究。任职条件：本科以上学历，计算机或相关专业毕业。精通Golang/Java/C/C++中的一种或多种语言。精通Hyperledger Fabric, Kubernetes/Docker . 有分布式共识、分布式网络、应用密码学、加密算法、虚拟机技术等学习和使用经验。有区块链解决方案、区块链产品设计或其他区块链相关工作经验。有较强的学习能力，能熟练阅读英文技术文档；具备良好的表达能力和沟通能力，能够承受一定的工作压力；对工作认真负责、有强烈的责任感、并有良好的团队合作精神。有分布式系统性能分析及调优经验优先。有云应用经验(AWS, Azure, IBM cloud, Ali Cloud) 及微服务开发经验优先有英语、日语听读写经验优先任职条件熟悉Ubuntu, Node.js,Javascript Kubernetes/Docker 有Web application, REST/API 相关工作经验精通微服务熟悉 Cloud相关技术，有AWS, Azure 相关云应用经验。精通 NoSQL 。 精通Hyperledger Fabric 有英语、日语听读写经验优先",上海市 杨浦区 IBM
区块链架构师,14000-25000元,大连3-5年本科,"岗位职责：负责选型和设计适用行业场景的区块链产品，并推动区块链应用和解决方案的落地实施；参与区块链核心系统的架构设计和研发工作发展区块链技术，探索和推进区块链技术在不同场景的应用区块链项目核心开发和智能合约开发。区块链经济模型技术实现研究。任职条件：本科以上学历，计算机或相关专业毕业。精通Golang/Java/C/C++中的一种或多种语言。精通Hyperledger Fabric, Kubernetes/Docker . 有分布式共识、分布式网络、应用密码学、加密算法、虚拟机技术等学习和使用经验。有区块链解决方案、区块链产品设计或其他区块链相关工作经验。有较强的学习能力，能熟练阅读英文技术文档；具备良好的表达能力和沟通能力，能够承受一定的工作压力；对工作认真负责、有强烈的责任感、并有良好的团队合作精神。有分布式系统性能分析及调优经验优先。有云应用经验(AWS, Azure, IBM cloud, Ali Cloud) 及微服务开发经验优先有英语、日语听读写经验优先任职条件熟悉Ubuntu, Node.js,Javascript Kubernetes/Docker 有Web application, REST/API 相关工作经验精通微服务熟悉 Cloud相关技术，有AWS, Azure 相关云应用经验。精通 NoSQL 。 精通Hyperledger Fabric 有英语、日语听读写经验优先",大连旅顺口区天地软件园
区块链架构师,15000-25000元,上海3-5年本科,"岗位职责：负责选型和设计适用行业场景的区块链产品，并推动区块链应用和解决方案的落地实施；参与区块链核心系统的架构设计和研发工作发展区块链技术，探索和推进区块链技术在不同场景的应用区块链项目核心开发和智能合约开发。区块链经济模型技术实现研究。任职条件：本科以上学历，计算机或相关专业毕业。精通Golang/Java/C/C++中的一种或多种语言。精通Hyperledger Fabric, Kubernetes/Docker . 有分布式共识、分布式网络、应用密码学、加密算法、虚拟机技术等学习和使用经验。有区块链解决方案、区块链产品设计或其他区块链相关工作经验。有较强的学习能力，能熟练阅读英文技术文档；具备良好的表达能力和沟通能力，能够承受一定的工作压力；对工作认真负责、有强烈的责任感、并有良好的团队合作精神。有分布式系统性能分析及调优经验优先。有云应用经验(AWS, Azure, IBM cloud, Ali Cloud) 及微服务开发经验优先有英语、日语听读写经验优先任职条件熟悉Ubuntu, Node.js,Javascript Kubernetes/Docker 有Web application, REST/API 相关工作经验精通微服务熟悉 Cloud相关技术，有AWS, Azure 相关云应用经验。精通 NoSQL 。 精通Hyperledger Fabric 有英语、日语听读写经验优先",上海市 杨浦区 IBM
区块链架构师,14000-28000元,大连5-10年本科,"岗位职责：负责选型和设计适用行业场景的区块链产品，并推动区块链应用和解决方案的落地实施；参与区块链核心系统的架构设计和研发工作发展区块链技术，探索和推进区块链技术在不同场景的应用区块链项目核心开发和智能合约开发。区块链经济模型技术实现研究。任职条件：本科以上学历，计算机或相关专业毕业。精通Golang/Java/C/C++中的一种或多种语言。精通Hyperledger Fabric, Kubernetes/Docker . 有分布式共识、分布式网络、应用密码学、加密算法、虚拟机技术等学习和使用经验。有区块链解决方案、区块链产品设计或其他区块链相关工作经验。有较强的学习能力，能熟练阅读英文技术文档；具备良好的表达能力和沟通能力，能够承受一定的工作压力；对工作认真负责、有强烈的责任感、并有良好的团队合作精神。有分布式系统性能分析及调优经验优先。有云应用经验(AWS, Azure, IBM cloud, Ali Cloud) 及微服务开发经验优先有英语、日语听读写经验优先任职条件熟悉Ubuntu, Node.js,Javascript Kubernetes/Docker 有Web application, REST/API 相关工作经验精通微服务熟悉 Cloud相关技术，有AWS, Azure 相关云应用经验。精通 NoSQL 。 精通Hyperledger Fabric 有英语、日语听读写经验优先",大连旅顺口区天地软件园
区块链架构师,50000-80000元,北京3-5年本科,区块链技术的前瞻调研和深度跟进基于区块链技术的去中心应用(dapp)的系统设计与开发结合应用场景进行共识机制，通证经济等机制设计,北京市 朝阳区 冠捷大厦(太阳宫中路) 9层
区块链,7000-10000元,大连3-5年本科,1、开发语言：精通Golang，如果没有Golang经验，需要java或者C#开发经验。2、具备大型项目开发经验，对嵌入系统（Android、Linux）有了解，熟悉Linux系统下开发。3、英语四级以上，可读写。4、身体健康，热爱编程。,大连市 甘井子区 大连华畅 凌秀路83号
区块链工程师,25000-35000元,北京1-3年本科,1. 调研基于区块链的存储，分布式架构。2. 开发基于区块链架构的去中心化应用，包括聊天，信息流等。3. 有较扎实的分布式开发经验，熟悉btc架构，以太坊架构 并有相关开发经验的更好。我们做严肃的区块链应用开发，详细业务场景感兴趣可以进一步交流。,北京朝阳区冠捷大厦(太阳宫中路)301
区块链产品经理,15000-30000元,北京1-3年本科,工作职责：-区块链平台产品规划：负责百度云区块链BaaS平台的产品设计、规划、迭代和项目管理，打造区块链技术平台化、赋能化的创新型平台。?-区块链+X解决方案设计：负责百度云区块链+X的解决方案的设计、规划和落地，将Ai、BigData、Cloud、安全等技术与区块链平台结合，打造丰富的企业级区块链整体解决方案。-区块链运营：负责百度云区块链的产品、用户、生态和品牌运营，打造业界领先的企业级ABC+Blockchain品牌和影响力。?-大客户跟进：挖掘客户问题本质，反思产品功能缺陷并进行迭代职位要求：-熟悉区块链技术、产品、市场和解决方案情况?-对于区块链、AI、BigData、Cloud等复合领域，有相关经验和深刻理解?-对于产品设计、产品运营、市场分析、行业拓展等方面，有相关经验和深刻理解 -具备B端业务意识和服务精神?-具备良好的的沟通和协调能力,北京海淀区百度科技园2号楼
区块链研发工程师,20000-30000元,福州5-10年本科,岗位职责负责区块链产品的设计和研发工作。搭建基于区块链的底层架构并提供应用层调用；开发基于区块链的行业应用产品。任职要求：精通 Java 、Python 、Golang 中至少一种 ；精通各种数据结构和算法，对密码学，安全协议和加密算法有研究；熟悉 Ethereum、OpenChain、Hyperledger 等相关开源项目；熟练使用linux系统,福州市 鼓楼区 福州软件园(软件大道) F区5栋
区块链产品经理,20000-40000元,上海1-3年本科,熟悉区块链技术、产品、市场和解决方案情况?-对于区块链、AI、BigData、Cloud等复合领域，有相关经验和深刻理解?-对于产品设计、产品运营、市场分析、行业拓展等方面，有相关经验和深刻理解 -具备B端业务意识和服务精神?-具备良好的的沟通和协调能力,上海浦东新区百度上海研发中心纳贤路701号
区块链工程师,8000-10000元,成都应届生硕士,岗位描述：1 区块链技术研究与开发;2 底层区块链、智能合约、应用服务的研究与开发;3 GIS融合区块链技术框架搭建4 将新技术转化为产品原型;5 参与产品中的技术难点攻关，提升产品的竞争能力；岗位要求：计算机类、GIS等相关专业，硕士研究生及以上学历;熟练使用C/C++开发语言;熟悉GO开发语言;熟悉Java开发语言;熟悉Python开发语言;熟练使用Linux操作系统，熟悉脚本的使用;熟悉TensorFlow、Spark、Hadoop、Docker等相关框架;,成都武侯区天府软件园E6-1号6楼
区块链技术专家,50000-80000元,深圳5-10年本科,区块链研发负责人岗位职责:1、负责公司区块链方面的产品研发2、对区块链底层架构、智能合约、共识算法等进行设计和研发3、基于区块链技术对业务系统进行整体设计和研发任职要求：1、本科及以上学历，3年以上相关区块链工作经验2、JAVA基础扎实，熟悉高并发、高性能的分布式系统的设计、应用及调优3、熟悉主流的共识算法:PoW，PoS，PBFT，Paxos，Raft等4、熟悉Bitcoin、Ethereum、OpenChain等开源项目，有研究和贡献经验者优先5、实际参与开发过至少一款区块链产品,深圳南山区科技园南区W1
区块链,22000-32000元,广州5-10年本科,岗位职责：1、负责区块链产品需求调研、整体规划、业务流程设计、详细功能设计等工作；2、负责市场调研、竞品分析，熟悉区块链市场发展趋势，挖掘新的需求和应用场景；3、负责基于区块链的产品的设计和研发；4、负责产品生命周期管理，包括产品路线图、产品原型、产品功能设计等，跟进产品的设计、开发、测试、上线、运营全过程。,广州市  广东省广州市天河区丰兴广场c座 1703-1705
区块链工程师,10000-15000元,西安1年以内本科,岗位职责：1. 基于HyperledgerFabric的管理平台的开发、维护。2. 基于HyperledgerFabric的去中心化应用的开发、维护3. 基于ETH、EOS、BTC等主流平台的智能合约及数字货币的开发岗位要求：1. 掌握 Ethereum，HyperLedger Fabric的区块链相关机制与原理2. 能够独立搭建HyperledgerFabric网络，调整配置3. 精通Linux系统命令和基本特性。4. 熟练掌握Docker容器原理、部署5. 了解区块链各种共识算法6. 熟练掌握Nodejs、GoLang、Python、Java等编程语言，精通其中1-2门。7. 熟悉gRPC协议，protobuf等8. 熟悉MySQL，Sqlite，PostgreSql数据库,西安市 雁塔区 陕西永利国际金融中心 609
区块链专家,25000-50000元,北京3-5年本科,对分布式系统构架和运行构架进行研究、比较和调优 负责公链的核心模块设计和编写 负责区块链前沿技术的探索和落地实现 任职要求： 对 Ethereum，Bitcoin 等主流公链的源码有深刻理解 熟练掌握 Golang，C++ 主流区块链系统开发语言至少一种，参与过区块链开发社区并贡献源码者优先 熟悉数字加密算法，安全协议，分布式计算优先 有良好的数学和计算机基础，国内外知名高校计算机相关专业毕业优先 有良好的代码功底和规范，有大规模分布式系统开发经验 有 ACM 竞赛获获奖经历者优先 具备阅读英文技术资料的能力,北京海淀区学清路18号院学院8号D座5层
区块链高级产品经理,19000-36000元,深圳3-5年本科,"岗位职责：	- 研究和了解区块链技术发展动向，参与腾讯可信区块链开放平台的相关产品规划、推进应用场景落地；	- 关注区块链与各行业结合的切入点并有自己的见解，结合开放平台现有产品及技术能力，拓展区块链开放平台与其它垂直行业的结合，并固化为开放平台的产品能力；	- 关注开发者的诉求，运营与维护区块链开发者的社群；	-  协助与支持区块链相关其它项目的落地执行。任职要求：	- 三年以上互联网、产品策划相关工作经历；	- 责任心强，积极主动，善于沟通，具有团队精神；	- 有长期投身区块链应用的热情和兴趣，愿意学习了解区块链协议、加密技术、共识算法、智能合约等基础知识；	- 有开放平台规划经验、金融及供应链背景优先；	- 熟悉Ethereum、Hyperledge等相关开源项目，有参与或实际项目经验者优先。",深圳南山区腾讯大厦
区块链架构师,70000-100000元,北京3-5年本科,1. 调研基于区块链的存储，分布式架构。2. 开发基于区块链架构的去中心化应用，包括聊天，信息流等。3. 有较扎实的分布式开发经验，熟悉btc架构，以太坊架构 并有相关开发经验的更好。我们做严肃的区块链应用开发，详细业务场景感兴趣可以进一步交流。,北京朝阳区冠捷大厦(太阳宫中路) 5层
区块链工程师,15000-30000元,深圳3-5年本科,区块链工程师（hyperledger）：1、了解hyperledger的基本结构，能够熟练运用和部署2、了解chaincode，能够独立编写和运行chaincode3、熟悉go、Java等开发语言，熟悉nodejs,深圳市 南山区 阳光科创中心B座 31楼01号
区块链开发工程师,20000-40000元,长沙1-3年本科,区块链:任职要求：1、本科及以上学历，计算相关专业，五年以上软件开发经验，两年以上区块链相关开发经验；2、熟恶金融交易业务，有过交易所架构经验优先；3、有互联网产品高并发架构经验，熟悉MQ中间件、各类常用缓存、 Spring等主流技术和框架；熟悉Linux操作环境；4、精通java，熟练掌握Java、C、Go、 Node .js，Python等主流区块链系统开发语言至少一至两种；5、熟悉区块链底层技术原理，熟悉P2P网络和分布式存储，熟悉主流的共识机制；6、熟悉 Ethereum、 Open Chain。岗位职责:1、参与规划公司的技术发展路线与新产品研发，实现公司的技术创新目标；2、负责搭建基于区块链的底层架构，开发并实现区块链协议、运行机制、加密技术、共识算法和底层实现；3、组织制定区块链产品的技本方案，指导项目团队成员的开发工作，解决开发中的技术问题；4、参与公司产品业务流程优化重构，研发过程优化与改进；5、掌握区块链行业发展方向，提出具有前瞻性见解，引领行业未来；6、探索区块链技术在数字资产等应用的落地场景，为公司业务发展提供持续技木支撑。,长沙岳麓区湖南省长沙市岳麓区长沙高新区长沙芯城科技园7栋11楼
区块链CTO,25000-39000元,厦门5-10年本科,区块链项目CTO.区块链技术牛逼，有迅速组建团队的能力与人脉。,厦门思明区会展南路7-109之五号写字楼4层醉品集团
区块链架构师,40000-70000元,北京5-10年本科,职位描述1. 区块链技术的前瞻调研和深度跟进2. 基于区块链技术的去中心应用（ Dapp ）的系统设计与开发3. 结合应用场景进行 共识机制， 通证经济 等机制设计。我们要做严肃的区块链技术和产品，欢迎详细交流具体业务场景,北京朝阳区冠捷大厦(太阳宫中路)302
区块链架构师,40000-50000元,北京3-5年本科,1. 区块链技术的前瞻调研和深度跟进2. 基于区块链技术的去中心应用（ Dapp ）的系统设计与开发3. 结合应用场景进行 共识机制， 通证经济 等机制设计。我们要做严肃的区块链技术和产品，欢迎详细交流具体业务场景,北京朝阳区冠捷大厦(太阳宫中路)
区块链算法专家,30000-60000元,北京3-5年硕士,与工程团队紧密合作，负责公链的基础构架设计、算法研究、核心代码开发 负责区块链加密算法设计和实现 对 VRF 概率模型进行研究，将算法落地和改进 对拜占庭容错算法进行研究和改进 追踪和研究区块链学术界和业界的最新发展和动态 任职要求： 对分布式网络进行技术研究和实现 对常用共识算法有深刻的理解和应用经验 在密码学、安全协议、加密算法、虚拟机和编译原理有一个或者多个领域有研究基础 具备相关领域的英文学术论文阅读和写作能力 有良好的数学和计算机基础，国内外知名高校计算机相关专业硕士或者博士优先,北京海淀区学清路18号院学院8号D座5层
区块链算法工程师,15000-30000元,北京1-3年本科,区块链算法工程师我们是学习成长型团队，有计划组织区块链技术、全栈技术、生活知识等全方位学习与交流。我们准备迎接即将到来的区块链产业红利。我们聚焦技术创新，目前团队成立半年，有十项专利。我们期望想做些事情的你，期望你是：1、有数学热情，思维活跃，参加过数学建模全国赛或美国赛会使我们更加心动。2、你可以对区块链一无所知，但要喜爱，认识到它的前景，并抱以信心。3、具有编程能力，有JavaScript 或 Java 等经验，有GO经验会使我们更加心动。4、具有英语论文阅读能力。,北京海淀区丹棱SOHO16层
区块链技术专家,15000-30000元,杭州3-5年本科,职位描述1、负责区块链面向供应链金融、信用证、跨境贸融等金融类场的产品研发；2、负责拟定和实施区块链平台和业务平台的技术方案和系统集成；3、解决各类系统的技术风险，保证系统的安全，稳定，快速运行；职位要求1、计算机类专业本科以上，有良好的计算机基础知识2、3年以上开发工作经验，C++/JAVA/JavaScript 至少精通一种3、熟悉多线程，高性能，分布式系统的设计和架构优先4、有银行等金融机构的工作经历、在线供应链金融或其他在线金融等背景最佳，5、有基于区块链的项目开发经验优先，参与过开源项目优先6、具备较强的学习能力、沟通协调能力、团队合作能力。,杭州西湖区黄龙万科中心G座
