spider (8.21 15:31:35 ): spider start.
spider (8.21 15:31:36 ): db create.
spider (8.21 15:31:36 ): 166848123, data insert.
spider (8.21 15:31:36 ): 166832561, data insert.
spider (8.21 15:31:37 ): 166853573, data insert.
spider (8.21 15:31:37 ): 166834916, data insert.
spider (8.21 15:31:38 ): 166827135, data insert.
spider (8.21 15:31:39 ): 166884290, data insert.
spider (8.21 15:31:39 ): 166883491, data insert.
spider (8.21 15:31:40 ): 166884308, data insert.
spider (8.21 15:31:41 ): 166883289, data insert.
spider (8.21 15:31:41 ): 166883287, data insert.
spider (8.21 15:31:42 ): 166883765, data insert.
spider (8.21 15:31:42 ): 166883083, data insert.
spider (8.21 15:31:43 ): 166883227, data insert.
spider (8.21 15:31:45 ): 166883189, data insert.
spider (8.21 15:31:45 ): 166883383, data insert.
spider (8.21 15:31:46 ): 166884603, data insert.
spider (8.21 15:31:46 ): 166882961, data insert.
spider (8.21 15:31:47 ): 166883527, data insert.
spider (8.21 15:31:48 ): 166884401, data insert.
spider (8.21 15:31:48 ): 166884555, data insert.
spider (8.21 15:31:49 ): 166884241, data insert.
spider (8.21 15:31:49 ): 166884503, data insert.
spider (8.21 15:31:50 ): 166883298, data insert.
spider (8.21 15:31:51 ): 166884172, data insert.
spider (8.21 15:31:51 ): 166804922, data insert.
spider (8.21 15:31:52 ): 166826854, data insert.
spider (8.21 15:31:53 ): 166809627, data insert.
spider (8.21 15:31:53 ): 166801744, data insert.
spider (8.21 15:31:54 ): 166792501, data insert.
spider (8.21 15:31:55 ): 166882943, data insert.
spider (8.21 15:31:55 ): 166882573, data insert.
spider (8.21 15:31:56 ): 166882535, data insert.
spider (8.21 15:31:56 ): 166882380, data insert.
spider (8.21 15:31:57 ): 166882771, data insert.
spider (8.21 15:31:58 ): 166882447, data insert.
spider (8.21 15:31:59 ): 166882056, data insert.
spider (8.21 15:31:59 ): 166882701, data insert.
spider (8.21 15:32:00 ): 166882423, data insert.
spider (8.21 15:32:01 ): 166882285, data insert.
spider (8.21 15:32:01 ): 166882792, data insert.
spider (8.21 15:32:02 ): 166882251, data insert.
spider (8.21 15:32:03 ): 166882341, data insert.
spider (8.21 15:32:04 ): 166881952, data insert.
spider (8.21 15:32:04 ): 166882312, data insert.
spider (8.21 15:32:05 ): 166882342, data insert.
spider (8.21 15:32:06 ): 166768360, data insert.
spider (8.21 15:32:06 ): 166772135, data insert.
spider (8.21 15:32:07 ): 166751063, data insert.
spider (8.21 15:32:07 ): 166762455, data insert.
spider (8.21 15:32:08 ): 166792432, data insert.
spider (8.21 15:32:08 ): 166881888, data insert.
spider (8.21 15:32:09 ): 166881124, data insert.
spider (8.21 15:32:10 ): 166881567, data insert.
spider (8.21 15:32:11 ): 166881437, data insert.
spider (8.21 15:32:11 ): 166881394, data insert.
spider (8.21 15:32:12 ): 166881148, data insert.
spider (8.21 15:32:13 ): 166881203, data insert.
spider (8.21 15:32:13 ): 166881440, data insert.
spider (8.21 15:32:14 ): 166881337, data insert.
spider (8.21 15:32:15 ): 166881027, data insert.
spider (8.21 15:32:15 ): 166881761, data insert.
spider (8.21 15:32:16 ): 166881285, data insert.
spider (8.21 15:32:17 ): 166881414, data insert.
spider (8.21 15:32:17 ): 166881349, data insert.
spider (8.21 15:32:18 ): 166881201, data insert.
spider (8.21 15:32:19 ): 166881189, data insert.
spider (8.21 15:32:19 ): 166691043, data insert.
spider (8.21 15:32:20 ): 166703608, data insert.
spider (8.21 15:32:20 ): 166725761, data insert.
spider (8.21 15:32:21 ): 166728329, data insert.
spider (8.21 15:32:22 ): 166717981, data insert.
spider (8.21 15:32:22 ): 166880657, data insert.
spider (8.21 15:32:23 ): 166880692, data insert.
spider (8.21 15:32:24 ): 166880840, data insert.
spider (8.21 15:32:24 ): 166880997, data insert.
spider (8.21 15:32:25 ): 166881012, data insert.
spider (8.21 15:32:26 ): 166880723, data insert.
spider (8.21 15:32:26 ): 166880871, data insert.
spider (8.21 15:32:27 ): 166880715, data insert.
spider (8.21 15:32:28 ): 166880602, data insert.
spider (8.21 15:32:28 ): 166880607, data insert.
spider (8.21 15:32:29 ): 166881013, data insert.
spider (8.21 15:32:29 ): 166880992, data insert.
spider (8.21 15:32:30 ): 166880694, data insert.
spider (8.21 15:32:31 ): 166880795, data insert.
spider (8.21 15:32:31 ): 166880642, data insert.
spider (8.21 15:32:32 ): 166880899, data insert.
spider (8.21 15:32:33 ): 166880624, data insert.
spider (8.21 15:32:33 ): 166880897, data insert.
